total,cmpr,split & merge,ptx -2,ptx -1,new & delete,nothing,,,,,
0.227328,0.18944,0.207872,0.14336,0.218112,0.091136,0.017568,,,,,
0.223136,0.196608,0.21088,0.14112,0.200704,0.099328,0.026624,,,,,
0.233472,0.201728,0.214016,0.150528,0.205824,0.105472,0.011264,,,,,
0.228352,0.219136,0.212992,0.14848,0.205824,0.099328,0.012288,,,,,
0.237568,0.214944,0.228352,0.188416,0.216064,0.108448,0.012288,,,,,
0.25088,0.206848,0.236544,0.171008,0.219136,0.10752,0.011264,,,,,
0.252928,0.219136,0.238592,0.166912,0.224256,0.144384,0.011136,,,,,
0.25088,0.20992,0.236544,0.172032,0.229376,0.106496,0.013312,,,,,
0.256,0.22528,0.240512,0.178176,0.233472,0.120832,0.012096,,,,,
0.2400604,0.2092267,0.2251449,0.1622258,0.2169742,0.109216,0.0142044,,,,,
,0.0308337,0.0149155,0.0778346,0.0230862,0.109216,0.014204444,0.2470043,,,,
,12.48%,6.04%,31.51%,9.35%,44.22%,5.75%,100.00%,,,,
cmpr_1,cmpr_mu,,,,,,,,,,
0.3205120 ,0.3072000 ,,,,,,,,,,
0.3184640 ,0.3153920 ,,,,,,,,,,
0.3307520 ,0.3235840 ,,,,,,,,,,
0.3307520 ,0.3235840 ,,,,,,,,,,
0.3491840 ,0.3430400 ,,,,,,,,,,
0.3665920 ,0.3461120 ,,,,,,,,,,
0.3676160 ,0.3624960 ,,,,,,,,,,
0.3860480 ,0.3594240 ,,,,,,,,,,
0.3860480 ,0.3768320 ,,,,,,,,,,
0.3506631 ,0.3397404 ,,,,,,,,,,
,,,,,,,,,,,
total,without cmpr,without split/merge,without spmma,only mem,nothing,,,,,without one,
0.3215360 ,0.2652160 ,0.2979840 ,0.2355200 ,0.1443840 ,0.0061440 ,,,,,0.2836480 ,0.4075520 
0.3205120 ,0.2764800 ,0.2949120 ,0.2365440 ,0.1587200 ,0.0071680 ,,,,,0.2816000 ,0.2816000 
0.3317760 ,0.2826240 ,0.3092480 ,0.2498560 ,0.1710080 ,0.0071680 ,,,,,0.2928640 ,0.2805760 
0.3317760 ,0.2846720 ,0.3082240 ,0.2478080 ,0.1638400 ,0.0061440 ,,,,,0.2949120 ,0.2918400 
0.3471360 ,0.2990080 ,0.3287040 ,0.2570240 ,0.1802240 ,0.0071680 ,,,,,0.3133440 ,0.2938880 
0.3665920 ,0.3010560 ,0.3461120 ,0.2611200 ,0.1679360 ,0.0061440 ,,,,,0.3317760 ,0.3133440 
0.3665920 ,0.3205120 ,0.3471360 ,0.2621440 ,0.1822720 ,0.0061440 ,,,,,0.3317760 ,0.3307520 
0.3870720 ,0.3174400 ,0.3604480 ,0.2631680 ,0.1710080 ,0.0071680 ,,,,,0.3481600 ,0.3297280 
0.3860480 ,0.3328000 ,0.3645440 ,0.2703360 ,0.1894400 ,0.0061440 ,,,,,0.3481600 ,0.3461120 
0.3510044 ,0.2977564 ,0.3285902 ,0.2537244 ,0.1698702 ,0.0065991 ,,,,,0.3140267 ,0.3194880 
,0.0532480 ,0.0224142 ,0.0972800 ,0.1698702 ,0.0065991 ,0.3494116 ,,,,,
,15.24%,6.41%,27.84%,48.62%,1.89%,,,,,,
